Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6467,448,6500.0,5119.020015044229,1.1892689999513095,7484.707012999934,37675.7569197464,21.566036277728298,1.493982411075039,6500,6800,6900,6900,7100,7200,7300,7400,7400,7500,7500
GET,/home?name=admin&id=admadm,6200,938,20000.0,14751.130707752252,1.2390659994707676,21942.355931000748,7284.75564516129,20.675649438984916,3.128025673188363,20000,20000,21000,21000,21000,21000,22000,22000,22000,22000,22000
GET,/writers,6186,423,13000.0,10142.883650613665,1.2128349999329657,14708.332672999859,2866.594083414161,20.62896248863882,1.4106128568855836,13000,14000,14000,14000,14000,14000,15000,15000,15000,15000,15000
,Aggregated,18853,1809,7300.0,9935.05495613698,1.1892689999513095,21942.355931000748,16259.871426298201,62.87064820535203,6.032620941148986,7300,14000,14000,17000,20000,21000,21000,22000,22000,22000,22000
